Project,Log ID,Log,Log level,Log URL,Log content relation,Log-code relation
hadoop,8246,"LOG.debug(""Writing out partial crc for data len "" + len + "", skip="" + skip)",debug,https://github.com/apache/hadoop/blob/dbd255f4a96474b31af2bd45c952ac7151a265b9/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/datanode/BlockReceiver.java/#L790,meets/starts,met-by/finishes
hadoop,9628,"LOGGER.warn(""Delete resource skylines for {}."", recurrenceId)",warn,https://github.com/apache/hadoop/blob/dbd255f4a96474b31af2bd45c952ac7151a265b9/hadoop-tools/hadoop-resourceestimator/src/main/java/org/apache/hadoop/resourceestimator/skylinestore/impl/InMemoryStore.java/#L144,meets/starts,met-by/finishes
hadoop,921,"LOG.info(""Instantiating AHSWebApp at "" + getPort())",info,https://github.com/apache/hadoop/blob/dbd255f4a96474b31af2bd45c952ac7151a265b9/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-applicationhistoryservice/src/main/java/org/apache/hadoop/yarn/server/applicationhistoryservice/ApplicationHistoryServer.java/#L318,meets/starts,met-by/finishes
hadoop,3286,"LOG.debug(""Request for appInfo of unknown attempt {}"", appAttemptId)",debug,https://github.com/apache/hadoop/blob/dbd255f4a96474b31af2bd45c952ac7151a265b9/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/main/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/AbstractYarnScheduler.java/#L441,meets/starts,met-by/finishes
jmeter,13960,"log.debug(""Setting transaction isolation: {}@{}"", isolation, System.identityHashCode(dsc))",debug,https://github.com/apache/jmeter/blob/659c1ff5eaea941eb7ad0638b58e904dcc06d961/src/protocol/jdbc/src/main/java/org/apache/jmeter/protocol/jdbc/config/DataSourceElement.java/#L368,meets/starts,met-by/finishes
tomcat,15888,"log.trace(""Adding event to selector:"" + event)",trace,https://github.com/apache/tomcat/blob/0f2e084d1583cfa4c00cec1958ec30113fb4f41e/java/org/apache/catalina/tribes/transport/nio/NioReceiver.java/#L159,meets/starts,met-by/finishes
activemq,18889,"LOG.error(""Trying to get Root Broker"", e)",error,https://github.com/apache/activemq/blob/b3c2c49f96bebee14b74c6456feb233e0312724b/activemq-broker/src/main/java/org/apache/activemq/broker/region/RegionBroker.java/#L830,meets/starts,met-by/finishes
hadoop,1079,"LOG.info(""Insert into the state store the policy for the queue: "" + policyConf.getQueue())",info,https://github.com/apache/hadoop/blob/dbd255f4a96474b31af2bd45c952ac7151a265b9/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-common/src/main/java/org/apache/hadoop/yarn/server/federation/store/impl/SQLFederationStateStore.java/#L902,meets/starts,after
activemq,19169,"LOG.trace(""{}, bridging messages for static destination: {}"", configuration.getBrokerName(), dest)",trace,https://github.com/apache/activemq/blob/b3c2c49f96bebee14b74c6456feb233e0312724b/activemq-broker/src/main/java/org/apache/activemq/network/DemandForwardingBridgeSupport.java/#L1400,meets/starts,after
activemq,19020,"LOG.info(""Installing StaticsBroker"")",info,https://github.com/apache/activemq/blob/b3c2c49f96bebee14b74c6456feb233e0312724b/activemq-broker/src/main/java/org/apache/activemq/plugin/StatisticsBrokerPlugin.java/#L47,meets/starts,met-by/finishes
hadoop,10552,"LOG.info(""Creating temp file: {}"", tempFile)",info,https://github.com/apache/hadoop/blob/dbd255f4a96474b31af2bd45c952ac7151a265b9/hadoop-tools/hadoop-distcp/src/main/java/org/apache/hadoop/tools/mapred/RetriableFileCopyCommand.java/#L269,meets/starts,met-by/finishes
hadoop,12129,"LOG.debug(""Key with path ["" + nodeCreatePath + ""] already exists.. Updating !!"")",debug,https://github.com/apache/hadoop/blob/dbd255f4a96474b31af2bd45c952ac7151a265b9/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/security/token/delegation/ZKDelegationTokenSecretManager.java/#L795,meets/starts,after
jmeter,14034,"log.debug(""Adding '{}' tag with '{}' value "", tagName, tagValue)",debug,https://github.com/apache/jmeter/blob/659c1ff5eaea941eb7ad0638b58e904dcc06d961/src/components/src/main/java/org/apache/jmeter/visualizers/backend/influxdb/InfluxdbBackendListenerClient.java/#L358,meets/starts,met-by/finishes
hadoop,12515,"LOG.info(""Adding a new node: "" + NodeBase.getPath(node))",info,https://github.com/apache/hadoop/blob/dbd255f4a96474b31af2bd45c952ac7151a265b9/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/net/NetworkTopology.java/#L149,meets/starts,met-by/finishes
hadoop,7704,"LOG.info(""Starting plan for Node : {}:{}"", node.getDataNodeName(), node.getDataNodePort())",info,https://github.com/apache/hadoop/blob/dbd255f4a96474b31af2bd45c952ac7151a265b9/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/diskbalancer/planner/GreedyPlanner.java/#L70,meets/starts,met-by/finishes
hadoop,2348,"LOG.info(""Directory "" + dir + "" passed disk check, adding to list of valid directories."")",info,https://github.com/apache/hadoop/blob/dbd255f4a96474b31af2bd45c952ac7151a265b9/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-nodemanager/src/main/java/org/apache/hadoop/yarn/server/nodemanager/DirectoryCollection.java/#L492,meets/starts,after
activemq,18723,"LOG.info(""Get Destinations: {}"", destinations)",info,https://github.com/apache/activemq/blob/b3c2c49f96bebee14b74c6456feb233e0312724b/activemq-broker/src/main/java/org/apache/activemq/broker/util/LoggingBrokerPlugin.java/#L355,meets/starts,after
tomcat,16476,"log.trace(""Request Attribute: "" + attr + "": [ "" + req.getAttribute(attr) + ""]"")",trace,https://github.com/apache/tomcat/blob/0f2e084d1583cfa4c00cec1958ec30113fb4f41e/java/org/apache/catalina/servlets/CGIServlet.java/#L463,meets/starts,met-by/finishes
jmeter,14283,"log.warn(""{} is attempting to use nonexistent {}"", caller.getName(), getMethod)",warn,https://github.com/apache/jmeter/blob/659c1ff5eaea941eb7ad0638b58e904dcc06d961/src/jorphan/src/main/java/org/apache/jorphan/gui/ObjectTableModel.java/#L280,meets/starts,before
hadoop,3809,"LOG.info(""Update RMDT with sequence number "" + rmDTIdentifier.getSequenceNumber())",info,https://github.com/apache/hadoop/blob/dbd255f4a96474b31af2bd45c952ac7151a265b9/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/main/java/org/apache/hadoop/yarn/server/resourcemanager/recovery/MemoryRMStateStore.java/#L223,before,met-by/finishes
tomcat,16300,"log.info(sm.getString(""jvmRoute.valve.started""))",info,https://github.com/apache/tomcat/blob/0f2e084d1583cfa4c00cec1958ec30113fb4f41e/java/org/apache/catalina/ha/session/JvmRouteBinderValve.java/#L377,after,before
hadoop,5808,"LOG.debug(""Change nextOffset (after trim) to {}"", nextOffset.get())",debug,https://github.com/apache/hadoop/blob/dbd255f4a96474b31af2bd45c952ac7151a265b9/hadoop-hdfs-project/hadoop-hdfs-nfs/src/main/java/org/apache/hadoop/hdfs/nfs/nfs3/OpenFileCtx.java/#L1005,before,met-by/finishes
tomcat,15878,"log.trace(""Registering key for read:"" + key)",trace,https://github.com/apache/tomcat/blob/0f2e084d1583cfa4c00cec1958ec30113fb4f41e/java/org/apache/catalina/tribes/transport/nio/NioReplicationTask.java/#L285,meets/starts,met-by/finishes
